pwsid,name,state,must_replace,unknown,pop,lead90,exposure_per_line,cost_total,priority_rank
IL0310150,BELLWOOD,IL,1257.0,930.0,19156,0.00908,9.632,6093900.0,166
MT0002640,MOUNTAIN VILLA APTS  KALISPELL,ID,1.0,6.0,300,0.009,9.600000000000001,5900.0,167
PA5040022,BOROUGH OF CONWAY,PA,3.0,777.0,2176,0.0173,9.573785310734463,169500.0,168
IL0971850,WAUCONDA,IL,167.0,1567.0,14084,0.016,9.506213001383125,1098300.0,169
NY1200257,DELHI VILLAGE,NY,20.0,119.0,3833,0.0088,9.473042575285566,117800.0,170
IL1435030,IL AMERICAN-PEORIA,IL,11442.0,24303.0,137575,0.021,9.445736131700086,58638000.0,171
NY5503366,ELLENVILLE (VILLAGE) WATER DIS,NY,13.0,49.0,4300,0.0086,9.44,70900.0,172
IL1610700,SILVIS,IL,308.0,21.0,7473,0.0085,9.400000000000002,1451800.0,173
WA5331569,HARTSTENE POINTE,WA,2.0,0.0,460,0.0085,9.400000000000002,9400.0,174
TX1010384,PONDEROSA FOREST UTILITY DISTRICT,TX,21.0,0.0,10101,0.00848,9.392,98700.0,175
NE3115503,"CERESCO, VILLAGE OF",NE,35.0,290.0,919,0.016,9.319866999168745,222500.0,176
OK2007709,MOORELAND,OK,1.0,506.0,1226,0.0194,9.21826036193812,105900.0,177
WI6420302,FORT MCCOY NORTH POST,WI,18.0,1.0,10000,0.008,9.2,84800.0,178
NH1381010,LITTLETON WATER AND LIGHT,NH,34.0,239.0,6500,0.008,9.2,207600.0,179
PA3130021,BOWMANSTOWN AUTHORITY,PA,14.0,203.0,900,0.0186,9.107398568019095,106400.0,180
ND3200536,LAKOTA CITY OF,ND,20.0,78.0,672,0.066,9.091042047531994,109600.0,181
NY0600381,CHAUTAUQUA UTILITY DISTRICT,NY,19.0,257.0,9000,0.0076,9.040000000000001,140700.0,182
NY4404397,POTSDAM VILLAGE,NY,4.0,1380.0,8312,0.0078,9.037367668097282,294800.0,183
PA6160012,RIMERSBURG BORO MUNI AUTH,PA,15.0,747.0,1873,0.0179,9.017351703023346,219900.0,184
PA6160003,EAST BRADY WATER SYSTEM,PA,27.0,416.0,1040,0.0172,9.003201113430759,210100.0,185
PA5100033,EVANS CITY BOROUGH,PA,1.0,885.0,1990,0.017,8.999270605397522,181700.0,186
NY3304334,SYRACUSE CITY,NY,17287.0,16098.0,192000,0.012,8.953135929121007,84468500.0,187
IL0316000,CHICAGO,IL,161298.0,251585.0,2746388,0.0088,8.94147761930069,808417600.0,188
NY5903465,YONKERS CITY,NY,71.0,27226.0,211569,0.00714,8.856,5778900.0,189
NY5903441,MOUNT VERNON WATER DEPARTMENT,NY,5156.0,4924.0,73893,0.00712,8.848,25218000.0,190
IL0890250,EAST DUNDEE,IL,265.0,162.0,3115,0.018,8.833896016205268,1277900.0,191
MD0210018,TOWN OF SMITHSBURG DISTRIBUTION SYSTEM,MD,7.0,1144.0,2500,0.016,8.832898928468,261700.0,192
FL4130901,"MIAMI BEACH, CITY OF",FL,151.0,0.0,100000,0.007,8.8,709700.0,193
CO0151700,RYE TOWN OF,CO,2.0,67.0,745,0.007,8.8,22800.0,194
FL6511315,OSCEOLA MOBILE HOME PARK,FL,4.0,2.0,128,0.007,8.8,19200.0,195
TX2370001,CITY OF HEMPSTEAD,TX,408.0,198.0,6687,0.00694,8.776,1957200.0,196
KS2014505,"LARNED, CITY OF",KS,3.0,0.0,3621,0.0069,8.76,14100.0,197
NE3114505,"LEBANON, VILLAGE OF",NE,7.0,11.0,58,0.0156,8.67851851851852,35100.0,198
MN1270053,Spring Park,MN,2.0,112.0,1743,0.008,8.677272727272726,31800.0,199
PA4550012,BEAVERTOWN MUNICIPAL AUTHORITY,PA,1.0,380.0,935,0.018,8.668874172185431,80700.0,200
IN5254014,WINGATE WATER WORKS,IN,7.0,2.0,299,0.02,8.63777777777778,33300.0,201
CT1500051,"THE FREDERICK GUNN SCHOOL, INC.",CT,4.0,1.0,300,0.0065,8.6,19000.0,202
KS2009110,WATER DISTRICT 1 OF JOHNSON CO,KS,249.0,3551.0,490000,0.00648,8.591999999999999,1880500.0,203
RI1858422,UNIVERSITY OF RHODE ISLAND,RI,1.0,0.0,19354,0.0064,8.56,4700.0,204
NN3536005,Crystal Community Boarding School BIA,NM,29.0,1.0,248,0.0062,8.48,136500.0,205
IN5277002,DUGGER UTILITIES,IN,1.0,0.0,1935,0.017,8.436708860759495,4700.0,206
PR0002692,LARES URBANO,PR,6.0,13.0,12634,0.006,8.399999999999999,30800.0,207
TX2330006,LAUGHLIN AIR FORCE BASE,TX,26.0,10.0,4010,0.006,8.399999999999999,124200.0,208
CO0110015,GEORGETOWN TOWN OF,CO,9.0,8.0,5315,0.006,8.399999999999999,43900.0,209
MT0004805,MONTANA STATE HOSPITAL COMPLEX,MT,1.0,0.0,721,0.006,8.399999999999999,4700.0,210
WY5680085,YNP-OLD FAITHFUL,WY,10.0,206.0,7675,0.006,8.399999999999999,88200.0,211
IL0310510,CICERO,IL,13059.0,940.0,83000,0.00703,8.31169598618119,61565300.0,212
GA3030000,DAVISBORO,GA,1.0,0.0,2058,0.0057,8.28,4700.0,213
IA4875050,VICTOR MUNICIPAL WATER DEPT,IA,7.0,0.0,875,0.0182,8.266068759342302,32900.0,214
SC2110011,JOHNSONVILLE CITY OF (SC2110011),SC,290.0,1.0,5083,0.0056,8.24,1363200.0,215
TX0920023,EJ WATER COMPANY,TX,8.0,0.0,312,0.00558,8.232,37600.0,216
NJ0906001,JERSEY CITY MUA,NJ,1630.0,26771.0,262000,0.00555,8.22,13015200.0,217
NC0351050,"PRINCETON, TOWN OF",NC,1.0,0.0,1653,0.016,8.217848410757945,4700.0,218
NY5903444,"VEOLIA WATER NEW YORK, INC. RD-1",NY,8082.0,6290.0,146732,0.0122,8.194457242582898,39243400.0,219
OH1501412,LEETONIA VILLAGE PWS,OH,141.0,252.0,1833,0.0164,8.182202835332607,713100.0,220
NJ1905004,SUSSEX CNTY HLTH-THE HOMESTED,NJ,1.0,0.0,100,0.00544,8.176,4700.0,221
PA7010034,POSSUM VALLEY MUNI AUTH,PA,4.0,0.0,800,0.006,8.175182481751824,18800.0,222
ME0098560,DOWNEAST CORRECTIONAL FACILITY,ME,1.0,1.0,63,0.0064,8.170909090909092,4900.0,223
WI2650056,WHITEWATER WATERWORKS,WI,182.0,0.0,14000,0.01,8.121591831999073,855400.0,224
TX1170018,SANFORD MUNICIPAL WATER SYSTEM,TX,1.0,61.0,120,0.032,8.105263157894736,16900.0,225
IA3423069,NORA SPRINGS WATER SUPPLY,IA,36.0,114.0,1369,0.006,8.086919831223629,192000.0,226
DE0000622,MILLSBORO WATER DEPARTMENT,DE,77.0,1993.0,8568,0.0175,8.06597379123362,760500.0,227
NN3536003,Chuska Community Boarding School BIA,NM,1.0,3.0,348,0.0131,8.048395061728396,5300.0,228
TX2520007,FORT BELKNAP WSC,TX,9.0,3.0,8070,0.00506,8.024000000000001,42900.0,229
PA7380044,FORT INDIANTOWN GAP,PA,1.0,0.0,3100,0.005,8.0,4700.0,230
MD0020217,PATUXENT MOBILE ESTATES,MD,1.0,0.0,450,0.005,8.0,4700.0,231
090600133,Shanel Tribal Utility District,CA,3.0,0.0,250,0.005,8.0,14100.0,232
NY2603521,MORRISVILLE VILLAGE,NY,1.0,0.0,2199,0.005,8.0,4700.0,233
NY2602377,HAMILTON VILLAGE,NY,150.0,50.0,4107,0.005,8.0,715000.0,234
DE0000557,SUSSEX SHORES WATER COMPANY,DE,3.0,0.0,12450,0.0069,7.951443569553805,14100.0,235
NJ1435003,AWO&M - PICATINNY ARSENAL,NJ,82.0,0.0,6011,0.00482,7.927999999999999,385400.0,236
NJ0502001,CAPE MAY WATER & SEWER U,NJ,77.0,2315.0,35000,0.00471,7.884,824900.0,237
KS2000103,"IOLA, CITY OF",KS,489.0,2.0,5343,0.019,7.871823204419889,2298700.0,238
ND4800152,CANDO CITY OF,ND,17.0,471.0,1115,0.0152,7.836894337419732,174100.0,239
NY1700022,NORTHAMPTON (T) WATER DISTRICT,NY,1.0,156.0,1000,0.0123,7.8111587982832615,35900.0,240
VT0005194,CRAFTSBURY FIRE DISTRICT 2,VT,4.0,43.0,420,0.0045,7.800000000000001,27400.0,241
IL0310810,EVANSTON,IL,10260.0,0.0,74486,0.008,7.793903826031572,48222000.0,242
MI0002080,"ELBERTA, VILLAGE OF",MI,35.0,44.0,372,0.028,7.769957081545066,173300.0,243
NJ0503001,CAPE MAY POINT BORO WATE,NJ,1.0,575.0,4000,0.0044,7.760000000000001,119700.0,244
TX1200003,JACKSON COUNTY WCID 1,TX,3.0,0.0,660,0.0044,7.760000000000001,14100.0,245
WY5680092,YNP-MAMMOTH HOT SPRINGS,WY,61.0,207.0,2600,0.004,7.6,328100.0,246
MD0100023,TOWN OF THURMONT,MD,11.0,797.0,6200,0.004,7.6,211100.0,247
NH1281010,LACONIA WATER WORKS,NH,53.0,177.0,17000,0.004,7.6,284500.0,248
NY2701039,BROCKPORT VILLAGE,NY,131.0,1514.0,25918,0.004,7.6,918500.0,249
TX2200332,NAVAL AIR STN JOINT RESERVE BASE,TX,2.0,0.0,9000,0.00378,7.5120000000000005,9400.0,250
IL0370100,DEKALB,IL,148.0,38.0,45000,0.012,7.509734841461153,703200.0,251
NE3120041,"AMHERST, VILLAGE OF",NE,5.0,7.0,295,0.00365,7.460000000000001,24900.0,252
NY0100189,ALBANY CITY,NY,2245.0,19108.0,98000,0.013,7.412209616423556,14373100.0,253
NY5001203,ADDISON VILLAGE,NY,7.0,27.0,1850,0.00353,7.412000000000001,38300.0,254
DE0000579,DOVER AIR FORCE BASE,DE,7.0,102.0,11000,0.0035,7.4,53300.0,255
KS2000911,"GREAT BEND, CITY OF",KS,537.0,19.0,14580,0.0035,7.4,2527700.0,256
